County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,Date,,,,,,,,,
Alameda,14,14,1274,1398,258,32,2990,6/1/2020,,,,,,,,,
Alpine,0,0,12,0,0,0,12,6/1/2020,,,,,,,,,
Amador,0,0,23,6,0,0,29,6/1/2020,,,,,,,,,
Butte,6,0,32,20,16,0,74,6/1/2020,,,,,,,,,
Calaveras,0,0,7,0,0,0,7,6/1/2020,,,,,,,,,
Colusa,0,0,16,2,10,0,28,6/1/2020,,,,,,,,,
Contra Costa,8,0,469,422,167,2,1068,6/1/2020,,,,,,,,,
Del Norte,0,0,10,0,20,0,30,6/1/2020,,,,,,,,,
El Dorado,1,0,109,5,35,0,150,6/1/2020,,,,,,,,,
Fresno,8,0,355,238,77,6,684,6/1/2020,,,,,,,,,
Glenn,0,0,4,0,10,0,14,6/1/2020,,,,,,,,,
Humboldt,1,0,77,8,18,1,105,6/1/2020,,,,,,,,,
Imperial,0,0,0,5,10,0,15,6/1/2020,,,,,,,,,
Inyo,0,0,6,3,14,0,23,6/1/2020,,,,,,,,,
Kern,4,0,106,30,97,4,241,6/1/2020,,,,,,,,,
Kings,0,0,36,44,42,0,122,6/1/2020,,,,,,,,,
Lake,0,0,10,0,0,0,10,6/1/2020,,,,,,,,,
Lassen,0,0,4,0,0,0,4,6/1/2020,,,,,,,,,
Los Angeles,22,105,5711,10161,699,72,16770,6/1/2020,,,,,,,,,
Madera,0,0,48,14,20,2,84,6/1/2020,,,,,,,,,
Marin,11,0,381,184,52,1,629,6/1/2020,,,,,,,,,
Mariposa,0,0,8,0,8,0,16,6/1/2020,,,,,,,,,
Mendocino,2,0,79,8,21,0,110,6/1/2020,,,,,,,,,
Merced,10,0,36,19,27,2,94,6/1/2020,,,,,,,,,
Modoc,0,0,4,0,0,0,4,6/1/2020,,,,,,,,,
Mono,0,0,19,0,12,0,31,6/1/2020,,,,,,,,,
Monterey,15,0,208,59,65,1,348,6/1/2020,,,,,,,,,
Napa,1,0,249,26,39,1,316,6/1/2020,,,,,,,,,
Nevada,0,0,46,5,35,0,86,6/1/2020,,,,,,,,,
Orange,8,0,2114,2265,392,20,4799,6/1/2020,,,,,,,,,
Placer,0,1,125,86,92,1,305,6/1/2020,,,,,,,,,
Plumas,0,0,5,0,0,0,5,6/1/2020,,,,,,,,,
Riverside,7,0,806,161,324,8,1306,6/1/2020,,,,,,,,,
Sacramento,85,7,652,544,144,6,1438,6/1/2020,,,,,,,,,
San Benito,1,0,11,10,22,0,44,6/1/2020,,,,,,,,,
San Bernardino,1,1,502,194,268,33,999,6/1/2020,,,,,,,,,
San Diego,2,3,1708,4088,240,32,6073,6/1/2020,,,,,,,,,
San Francisco,55,3,637,524,33,12,1264,6/1/2020,,,,,,,,,
